"pin [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
0,2.08575,-0.00744062428502398,-46.4137576220315
0,2.086,-0.0074426291503166,-46.4197574664733
0,2.08625,-0.0074446347006463,-46.4257576321992
0,2.0865,-0.00744664093633399,-46.4317581194896
0,2.08675,-0.00744864785771601,-46.4377589286255
0,2.087,-0.00745065546511135,-46.4437600598882
0,2.08725,-0.00745266375885153,-46.4497615135594
0,2.0875,-0.00745467273926325,-46.455763289921
0,2.08775,-0.00745668240667224,-46.4617653892555
0,2.088,-0.00745869276140905,-46.4677678118456
0,2.08825,-0.00746070380380329,-46.4737705579745
0,2.0885,-0.00746271553417973,-46.4797736279259
0,2.08875,-0.00746472795287471,-46.4857770219836
0,2.089,-0.00746674106021301,-46.4917807404319
0,2.08925,-0.0074687548565223,-46.4977847835556
0,2.0895,-0.007470769342137,-46.5037891516397
0,2.08975,-0.00747278451738478,-46.5097938449696
0,2.09,-0.00747480038259909,-46.5157988638313
0,2.09025,-0.00747681693811147,-46.521804208511
0,2.0905,-0.00747883418425151,-46.5278098792952
0,2.09075,-0.00748085212134882,-46.5338158764711
0,2.091,-0.00748287074973976,-46.5398222003259
0,2.09125,-0.00748489006975488,-46.5458288511475
0,2.0915,-0.00748691008172765,-46.5518358292241
0,2.09175,-0.00748893078598864,-46.5578431348441
0,2.092,-0.00749095218287517,-46.5638507682966
0,2.09225,-0.00749297427271684,-46.5698587298709
0,2.0925,-0.00749499705585195,-46.5758670198567
0,2.09275,-0.00749702053261493,-46.5818756385441
0,2.093,-0.00749904470333633,-46.5878845862237
0,2.09325,-0.00750106956835543,-46.5938938631864
0,2.0935,-0.00750309512800279,-46.5999034697234
0,2.09375,-0.00750512138261766,-46.6059134061265
0,2.094,-0.00750714833253449,-46.6119236726877
0,2.09425,-0.00750917597809349,-46.6179342696997
0,2.0945,-0.00751120431962812,-46.6239451974551
0,2.09475,-0.0075132333574738,-46.6299564562473
0,2.095,-0.00751526309197075,-46.6359680463701
0,2.09525,-0.00751729352345629,-46.6419799681174
0,2.0955,-0.00751932465226775,-46.6479922217838
0,2.09575,-0.00752135647874344,-46.654004807664
0,2.096,-0.00752338900322164,-46.6600177260536
0,2.09625,-0.00752542222604355,-46.6660309772479
0,2.0965,-0.00752745614754747,-46.6720445615433
0,2.09675,-0.00752949076806977,-46.6780584792361
0,2.097,-0.00753152608795357,-46.6840727306233
0,2.09725,-0.00753356210754392,-46.6900873160021
0,2.0975,-0.00753559882717237,-46.6961022356703
0,2.09775,-0.00753763624718591,-46.7021174899259
0,2.098,-0.00753967436792669,-46.7081330790674
0,2.09825,-0.00754171318972916,-46.7141490033939
0,2.0985,-0.00754375271294512,-46.7201652632045
0,2.09875,-0.00754579293791,-46.7261818587991
0,2.099,-0.0075478338649698,-46.7321987904778
0,2.09925,-0.00754987549446477,-46.7382160585411
0,2.0995,-0.00755191782674189,-46.7442336632899
0,2.09975,-0.0075539608621443,-46.7502516050258
0,2.1,-0.00755600460101415,-46.7562698840504
0,2.10025,-0.00755804904369844,-46.762288500666
0,2.1005,-0.00756009419053741,-46.7683074551752
0,2.10075,-0.00756214004188191,-46.774326747881
0,2.101,-0.00756418659807506,-46.7803463790868
0,2.10125,-0.00756623385946098,-46.7863663490966
0,2.1015,-0.00756828182638665,-46.7923866582145
0,2.10175,-0.00757033049920389,-46.7984073067454
0,2.102,-0.00757237987825101,-46.8044282949942
0,2.10225,-0.0075744299638808,-46.8104496232665
0,2.1025,-0.00757648075643928,-46.8164712918683
0,2.10275,-0.0075785322562725,-46.822493301106
0,2.103,-0.00758058446373419,-46.8285156512863
0,2.10325,-0.00758263737916944,-46.8345383427165
0,2.1035,-0.00758469100292813,-46.8405613757041
0,2.10375,-0.00758674533535726,-46.8465847505573
0,2.104,-0.00758880037681059,-46.8526084675845
0,2.10425,-0.00759085612763511,-46.8586325270947
0,2.1045,-0.00759291258818072,-46.8646569293971
0,2.10475,-0.00759496975880215,-46.8706816748015
0,2.105,-0.00759702763984639,-46.8767067636181
0,2.10525,-0.0075990862316672,-46.8827321961576
0,2.1055,-0.00760114553461447,-46.8887579727309
0,2.10575,-0.00760320554904294,-46.8947840936496
0,2.106,-0.00760526627530443,-46.9008105592255
0,2.10625,-0.00760732771375367,-46.9068373697709
0,2.1065,-0.00760938986473862,-46.9128645255987
0,2.10675,-0.00761145272861595,-46.918892027022
0,2.107,-0.00761351630574326,-46.9249198743545
0,2.10725,-0.00761558059646854,-46.9309480679102
0,2.1075,-0.00761764560115134,-46.9369766080035
0,2.10775,-0.00761971132014542,-46.9430054949495
0,2.108,-0.0076217777538055,-46.9490347290636
0,2.10825,-0.00762384490248632,-46.9550643106614
0,2.1085,-0.00762591276654647,-46.9610942400593
0,2.10875,-0.00762798134634261,-46.9671245175739
0,2.109,-0.0076300506422285,-46.9731551435224
0,2.10925,-0.00763212065456659,-46.9791861182223
0,2.1095,-0.00763419138371162,-46.9852174419916
0,2.10975,-0.00763626283001928,-46.9912491151487
0,2.11,-0.00763833499385203,-46.9972811380126
0,2.11025,-0.00764040787556557,-47.0033135109026
0,2.1105,-0.00764248147552138,-47.0093462341383
0,2.11075,-0.00764455579408,-47.0153793080402
0,2.111,-0.00764663083159807,-47.0214127329287
0,2.11125,-0.00764870658843904,-47.0274465091251
0,2.1115,-0.00765078306495956,-47.0334806369508
0,2.11175,-0.00765286026152402,-47.0395151167279
0,2.112,-0.00765493817849295,-47.0455499487788
0,2.11225,-0.00765701681622591,-47.0515851334265
0,2.1125,-0.00765909617508923,-47.0576206709942
0,2.11275,-0.00766117625544439,-47.0636565618058
0,2.113,-0.00766325705765289,-47.0696928061856
0,2.11325,-0.00766533858207719,-47.0757294044581
0,2.1135,-0.00766742082908459,-47.0817663569487
0,2.11375,-0.0076695037990356,-47.0878036639828
0,2.114,-0.00767158749229463,-47.0938413258866
0,2.11425,-0.00767367190922896,-47.0998793429867
0,2.1145,-0.00767575705020106,-47.1059177156099
0,2.11475,-0.00767784291558014,-47.1119564440837
0,2.115,-0.00767992950572964,-47.1179955287361
0,2.11525,-0.00768201682101781,-47.1240349698952
0,2.1155,-0.00768410486180711,-47.1300747678901
0,2.11575,-0.00768619362847064,-47.13611492305
0,2.116,-0.00768828312136989,-47.1421554357045
0,2.11625,-0.00769037334087698,-47.148196306184
0,2.1165,-0.00769246428735727,-47.154237534819
0,2.11675,-0.00769455596118192,-47.1602791219407
0,2.117,-0.00769664836272112,-47.1663210678807
0,2.11725,-0.00769874149234216,-47.172363372971
0,2.1175,-0.00770083535041428,-47.1784060375442
0,2.11775,-0.00770292993730958,-47.1844490619333
0,2.118,-0.00770502525339538,-47.1904924464717
0,2.11825,-0.00770712129904571,-47.1965361914933
0,2.1185,-0.00770921807463079,-47.2025802973326
0,2.11875,-0.00771131558052562,-47.2086247643244
0,2.119,-0.00771341381709846,-47.2146695928041
0,2.11925,-0.00771551278472339,-47.2207147831074
0,2.1195,-0.00771761248377348,-47.2267603355708
0,2.11975,-0.00771971291462183,-47.2328062505308
0,2.12,-0.00772181407764346,-47.2388525283248
0,2.12025,-0.00772391597320953,-47.2448991692906
0,2.1205,-0.00772601860169701,-47.2509461737661
0,2.12075,-0.00772812196347993,-47.2569935420903
0,2.121,-0.00773022605893527,-47.2630412746021
0,2.12125,-0.00773233088843709,-47.2690893716412
0,2.1215,-0.00773443645236426,-47.2751378335478
0,2.12175,-0.00773654275108892,-47.2811866606623
0,2.122,-0.00773864978499285,-47.287235853326
0,2.12225,-0.00774075755445302,-47.2932854118803
0,2.1225,-0.00774286605984251,-47.2993353366672
0,2.12275,-0.00774497530154311,-47.3053856280293
0,2.123,-0.00774708527993372,-47.3114362863097
0,2.12325,-0.00774919599539419,-47.3174873118516
0,2.1235,-0.00775130744829955,-47.3235387049993
0,2.12375,-0.00775341963903351,-47.3295904660971
0,2.124,-0.00775553256797787,-47.33564259549
0,2.12425,-0.00775764623550863,-47.3416950935234
0,2.1245,-0.00775976064200852,-47.3477479605433
0,2.12475,-0.00776187578786322,-47.3538011968961
0,2.125,-0.00776399167344678,-47.3598548029287
0,2.12525,-0.00776610829915064,-47.3659087789886
0,2.1255,-0.00776822566535081,-47.3719631254236
0,2.12575,-0.00777034377243391,-47.3780178425822
0,2.126,-0.00777246262077979,-47.3840729308132
0,2.12625,-0.00777458221077605,-47.390128390466
0,2.1265,-0.00777670254280543,-47.3961842218906
0,2.12675,-0.00777882361725553,-47.4022404254374
0,2.127,-0.00778094543450717,-47.4082970014572
0,2.12725,-0.00778306799495083,-47.4143539503014
0,2.1275,-0.00778519129897025,-47.4204112723219
0,2.12775,-0.00778731534695011,-47.4264689678712
0,2.128,-0.00778944013928186,-47.4325270373021
0,2.12825,-0.00779156567634634,-47.438585480968
0,2.1285,-0.00779369195853885,-47.4446442992229
0,2.12875,-0.00779581898624216,-47.4507034924212
0,2.129,-0.00779794675984868,-47.4567630609177
0,2.12925,-0.00780007527974407,-47.462823005068
0,2.1295,-0.00780220454632173,-47.4688833252279
0,2.12975,-0.0078043345599673,-47.4749440217539
0,2.13,-0.00780646532107417,-47.4810050950031
0,2.13025,-0.00780859683003187,-47.4870665453328
0,2.1305,-0.00781072908723282,-47.493128373101
0,2.13075,-0.00781286209306846,-47.4991905786663
0,2.131,-0.00781499584793027,-47.5052531623877
0,2.13125,-0.00781713035220968,-47.5113161246246
0,2.1315,-0.00781926560630009,-47.5173794657372
0,2.13175,-0.00782140161059972,-47.523443186086
0,2.132,-0.00782353836549615,-47.5295072860321
0,2.13225,-0.00782567587138665,-47.5355717659371
0,2.1325,-0.00782781412866556,-47.5416366261631
0,2.13275,-0.0078299531377282,-47.5477018670728
0,2.133,-0.00783209289897087,-47.5537674890293
0,2.13325,-0.00783423341278695,-47.5598334923963
0,2.1335,-0.00783637467957562,-47.5658998775381
0,2.13375,-0.00783851669973124,-47.5719666448193
0,2.134,-0.00784065947365397,-47.5780337946053
0,2.13425,-0.00784280300174298,-47.5841013272618
