"Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
2.7,-0.0207868360529854,154.104425163836
2.7005,-0.0207907012834644,154.062581925479
2.701,-0.0207945862220163,154.020716438301
2.7015,-0.0207984913310788,153.978828348717
2.702,-0.0208024170859894,153.936917295134
2.7025,-0.0208063639754137,153.894982907726
2.703,-0.0208103325018181,153.853024808199
2.7035,-0.0208143231819445,153.811042609541
2.704,-0.0208183365473022,153.769035915778
2.7045,-0.0208223731446843,153.727004321704
2.705,-0.0208264335367103,153.684947412614
2.7055,-0.020830518302385,153.642864764023
2.706,-0.0208346280376805,153.600755941375
2.7065,-0.0208387633561379,153.558620499741
2.707,-0.0208429248895218,153.516457983509
2.7075,-0.0208471132884499,153.474267926059
2.708,-0.0208513292231051,153.432049849429
2.7085,-0.0208555733839437,153.389803263966
2.709,-0.0208598464824451,153.34752766797
2.7095,-0.0208641492518891,153.305222547314
2.71,-0.0208684824481781,153.262887375062
2.7105,-0.0208728468506842,153.220521611063
2.711,-0.0208772432631365,153.178124701537
2.7115,-0.0208816725145514,153.135696078637
2.712,-0.0208861354601948,153.093235160003
2.7125,-0.0208906329826088,153.050741348293
2.713,-0.0208951659926548,153.008214030697
2.7135,-0.020899735430634,152.965652578434
2.714,-0.0209043422674376,152.923056346224
2.7145,-0.0209089875057595,152.880424671747
2.715,-0.0209136721813632,152.837756875072
2.7155,-0.0209183973644165,152.79505225807
2.716,-0.0209231641608725,152.752310103798
2.7165,-0.0209279737139285,152.709529675861
2.717,-0.0209328272055549,152.666710217747
2.7175,-0.0209377258580869,152.623850952136
2.718,-0.0209426709359058,152.580951080175
2.7185,-0.0209476637472007,152.538009780729
2.719,-0.0209527056458099,152.495026209598
2.7195,-0.0209577980331518,152.4519994987
2.72,-0.02096294236027,152.408928755218
2.7205,-0.0209681401299522,152.365813060713
2.721,-0.0209733928989872,152.322651470199
2.7215,-0.020978702280518,152.279443011173
2.722,-0.0209840699465178,152.236186682607
2.7225,-0.0209894976303983,152.19288145389
2.723,-0.0209949871297544,152.149526263733
2.7235,-0.021000540309242,152.106120019009
2.724,-0.0210061591036306,152.062661593558
2.7245,-0.0210118455209953,152.019149826922
2.725,-0.0210176016460926,151.975583523029
2.7255,-0.0210234296439206,151.931961448819
2.726,-0.021029331763456,151.888282332798
2.7265,-0.0210353103416346,151.84454486353
2.727,-0.0210413678075018,151.800747688052
2.7275,-0.0210475066866393,151.756889410222
2.728,-0.0210537296058155,151.712968588972
2.7285,-0.0210600392979101,151.668983736494
2.729,-0.0210664386071216,151.624933316324
2.7295,-0.0210729304944699,151.580815741335
2.73,-0.0210795180436174,151.536629371633
2.7305,-0.021086204467053,151.49237251234
2.731,-0.0210929931126012,151.448043411272
2.7315,-0.0210998874703734,151.403640256494
2.732,-0.0211068911800915,151.359161173751
2.7325,-0.0211140080388833,151.314604223761
2.733,-0.0211212420095381,151.269967399372
2.7335,-0.0211285972293005,151.225248622563
2.734,-0.0211360780191773,151.180445741286
2.7345,-0.0211436888938664,151.135556526143
2.735,-0.0211514345722797,151.090578666873
2.7355,-0.0211593199887854,151.04550976865
2.736,-0.0211673503051316,151.000347348183
2.7365,-0.021175530923189,150.955088829583
2.737,-0.0211838674985016,150.909731540011
2.7375,-0.0211923659547716,150.864272705067
