Freq [GHz],"dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
2,-0.005458347,-45.83141482
2.0015,-0.005464492,-45.86843305
2.003,-0.00547065,-45.90546311
2.0045,-0.00547682,-45.94250507
2.006,-0.005483002,-45.97955898
2.0075,-0.005489198,-46.0166249
2.009,-0.005495406,-46.0537029
2.0105,-0.005501627,-46.09079303
2.012,-0.005507861,-46.12789536
2.0135,-0.005514107,-46.16500994
2.015,-0.005520366,-46.20213684
2.0165,-0.005526639,-46.23927613
2.018,-0.005532924,-46.27642786
2.0195,-0.005539222,-46.31359209
2.021,-0.005545533,-46.3507689
2.0225,-0.005551858,-46.38795834
2.024,-0.005558195,-46.42516049
2.0255,-0.005564546,-46.4623754
2.027,-0.005570909,-46.49960314
2.0285,-0.005577286,-46.53684379
2.03,-0.005583677,-46.57409739
2.0315,-0.00559008,-46.61136403
2.033,-0.005596497,-46.64864378
2.0345,-0.005602928,-46.68593669
2.036,-0.005609371,-46.72324284
2.0375,-0.005615829,-46.76056229
2.039,-0.005622299,-46.79789513
2.0405,-0.005628784,-46.83524141
2.042,-0.005635282,-46.87260122
2.0435,-0.005641794,-46.90997461
2.045,-0.005648319,-46.94736167
2.0465,-0.005654858,-46.98476247
2.048,-0.005661411,-47.02217707
2.0495,-0.005667978,-47.05960556
2.051,-0.005674559,-47.09704801
2.0525,-0.005681153,-47.13450449
2.054,-0.005687762,-47.17197509
2.0555,-0.005694385,-47.20945987
2.057,-0.005701021,-47.24695891
2.0585,-0.005707672,-47.28447229
2.06,-0.005714338,-47.32200009
2.0615,-0.005721017,-47.35954239
2.063,-0.005727711,-47.39709927
2.0645,-0.005734419,-47.4346708
2.066,-0.005741141,-47.47225708
2.0675,-0.005747878,-47.50985817
2.069,-0.005754629,-47.54747417
2.0705,-0.005761395,-47.58510515
2.072,-0.005768175,-47.6227512
2.0735,-0.00577497,-47.6604124
2.075,-0.00578178,-47.69808884
2.0765,-0.005788605,-47.7357806
2.078,-0.005795444,-47.77348777
2.0795,-0.005802298,-47.81121044
2.081,-0.005809167,-47.84894869
2.0825,-0.005816051,-47.88670261
2.084,-0.00582295,-47.9244723
2.0855,-0.005829865,-47.96225784
2.087,-0.005836794,-48.00005932
2.0885,-0.005843739,-48.03787683
2.09,-0.005850698,-48.07571047
2.0915,-0.005857673,-48.11356033
2.093,-0.005864664,-48.15142649
2.0945,-0.00587167,-48.18930907
2.096,-0.005878691,-48.22720815
2.0975,-0.005885728,-48.26512383
2.099,-0.005892781,-48.3030562
2.1005,-0.005899849,-48.34100537
2.102,-0.005906933,-48.37897143
2.1035,-0.005914033,-48.41695448
2.105,-0.005921148,-48.45495462
2.1065,-0.00592828,-48.49297195
2.108,-0.005935427,-48.53100658
2.1095,-0.005942591,-48.56905861
2.111,-0.005949771,-48.60712814
2.1125,-0.005956967,-48.64521528
2.114,-0.005964179,-48.68332012
2.1155,-0.005971407,-48.72144279
2.117,-0.005978652,-48.75958339
2.1185,-0.005985913,-48.79774201
2.12,-0.005993191,-48.83591879
2.1215,-0.006000486,-48.87411381
2.123,-0.006007797,-48.91232721
2.1245,-0.006015124,-48.95055908
2.126,-0.006022469,-48.98880955
2.1275,-0.00602983,-49.02707872
2.129,-0.006037209,-49.06536671
2.1305,-0.006044604,-49.10367364
2.132,-0.006052017,-49.14199963
2.1335,-0.006059447,-49.18034479
2.135,-0.006066893,-49.21870924
2.1365,-0.006074358,-49.25709311
2.138,-0.006081839,-49.29549651
2.1395,-0.006089339,-49.33391957
2.141,-0.006096855,-49.37236242
2.1425,-0.00610439,-49.41082517
2.144,-0.006111942,-49.44930796
2.1455,-0.006119511,-49.48781091
2.147,-0.006127099,-49.52633415
2.1485,-0.006134705,-49.56487781
2.15,-0.006142328,-49.60344202
2.1515,-0.00614997,-49.64202692
2.153,-0.00615763,-49.68063263
2.1545,-0.006165309,-49.71925929
2.156,-0.006173005,-49.75790704
2.1575,-0.00618072,-49.79657602
2.159,-0.006188454,-49.83526636
2.1605,-0.006196207,-49.8739782
2.162,-0.006203978,-49.91271168
2.1635,-0.006211768,-49.95146695
2.165,-0.006219576,-49.99024415
2.1665,-0.006227404,-50.02904343
2.168,-0.006235251,-50.06786492
2.1695,-0.006243117,-50.10670879
2.171,-0.006251003,-50.14557518
2.1725,-0.006258908,-50.18446423
2.174,-0.006266832,-50.22337611
2.1755,-0.006274776,-50.26231096
2.177,-0.006282739,-50.30126894
2.1785,-0.006290723,-50.34025021
2.18,-0.006298726,-50.37925493
2.1815,-0.006306749,-50.41828325
2.183,-0.006314793,-50.45733534
2.1845,-0.006322856,-50.49641136
2.186,-0.00633094,-50.53551147
2.1875,-0.006339044,-50.57463584
2.189,-0.006347169,-50.61378464
2.1905,-0.006355314,-50.65295804
2.192,-0.00636348,-50.6921562
2.1935,-0.006371667,-50.73137931
2.195,-0.006379875,-50.77062753
2.1965,-0.006388104,-50.80990104
2.198,-0.006396355,-50.84920002
2.1995,-0.006404626,-50.88852465
2.201,-0.006412919,-50.92787511
2.2025,-0.006421234,-50.96725159
2.204,-0.00642957,-51.00665426
2.2055,-0.006437928,-51.04608332
2.207,-0.006446308,-51.08553896
