Freq [GHz],"dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
2.255,-0.007795899,-49.87257223
2.2565,-0.00780778,-49.90845202
2.258,-0.007819685,-49.94434529
2.2595,-0.007831616,-49.98025216
2.261,-0.007843573,-50.01617271
2.2625,-0.007855555,-50.05210703
2.264,-0.007867562,-50.08805523
2.2655,-0.007879595,-50.1240174
2.267,-0.007891654,-50.15999364
2.2685,-0.007903739,-50.19598405
2.27,-0.00791585,-50.23198873
2.2715,-0.007927987,-50.26800778
2.273,-0.00794015,-50.30404132
2.2745,-0.00795234,-50.34008943
2.276,-0.007964556,-50.37615223
2.2775,-0.007976798,-50.41222982
2.279,-0.007989067,-50.44832232
2.2805,-0.008001363,-50.48442982
2.282,-0.008013686,-50.52055245
2.2835,-0.008026035,-50.5566903
2.285,-0.008038412,-50.5928435
2.2865,-0.008050816,-50.62901216
2.288,-0.008063247,-50.66519639
2.2895,-0.008075705,-50.70139631
2.291,-0.008088191,-50.73761204
2.2925,-0.008100704,-50.7738437
2.294,-0.008113245,-50.8100914
2.2955,-0.008125814,-50.84635527
2.297,-0.008138411,-50.88263544
2.2985,-0.008151036,-50.91893202
2.3,-0.008163689,-50.95524514
2.3015,-0.00817637,-50.99157493
2.303,-0.00818908,-51.02792153
2.3045,-0.008201819,-51.06428505
2.306,-0.008214586,-51.10066563
2.3075,-0.008227382,-51.13706341
2.309,-0.008240207,-51.17347852
2.3105,-0.00825306,-51.20991109
2.312,-0.008265943,-51.24636127
2.3135,-0.008278856,-51.2828292
2.315,-0.008291798,-51.31931501
2.3165,-0.008304769,-51.35581885
2.318,-0.00831777,-51.39234086
2.3195,-0.008330801,-51.4288812
2.321,-0.008343863,-51.46544
2.3225,-0.008356954,-51.50201743
2.324,-0.008370075,-51.53861362
2.3255,-0.008383227,-51.57522874
2.327,-0.00839641,-51.61186294
2.3285,-0.008409623,-51.64851638
2.33,-0.008422867,-51.68518921
2.3315,-0.008436143,-51.72188161
2.333,-0.008449449,-51.75859372
2.3345,-0.008462787,-51.79532573
2.336,-0.008476156,-51.83207778
2.3375,-0.008489557,-51.86885007
2.339,-0.00850299,-51.90564275
2.3405,-0.008516455,-51.94245599
2.342,-0.008529952,-51.97928999
2.3435,-0.008543481,-52.0161449
2.345,-0.008557043,-52.05302092
2.3465,-0.008570637,-52.08991823
2.348,-0.008584265,-52.12683701
2.3495,-0.008597925,-52.16377745
2.351,-0.008611619,-52.20073973
2.3525,-0.008625346,-52.23772406
2.354,-0.008639106,-52.27473062
2.3555,-0.008652901,-52.31175961
2.357,-0.008666729,-52.34881123
2.3585,-0.008680591,-52.38588569
2.36,-0.008694488,-52.42298319
2.3615,-0.00870842,-52.46010393
2.363,-0.008722386,-52.49724812
2.3645,-0.008736387,-52.53441599
2.366,-0.008750423,-52.57160774
2.3675,-0.008764494,-52.60882359
2.369,-0.008778601,-52.64606377
2.3705,-0.008792744,-52.6833285
2.372,-0.008806923,-52.720618
2.3735,-0.008821138,-52.75793252
2.375,-0.00883539,-52.79527227
2.3765,-0.008849678,-52.8326375
2.378,-0.008864003,-52.87002844
