"dis [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
-15,2.859,-0.00615525724649613,-73.2508982683419
-15,2.8595,-0.00615632853214648,-73.263768429765
-15,2.86,-0.00615739997727356,-73.2766386182699
-15,2.8605,-0.00615847158191313,-73.2895088338572
-15,2.861,-0.00615954334608937,-73.3023790765272
-15,2.8615,-0.00616061526984288,-73.3152493462803
-15,2.862,-0.00616168735320363,-73.3281196431172
-15,2.8625,-0.00616275959619967,-73.340989967038
-15,2.863,-0.00616383199886965,-73.3538603180434
-15,2.8635,-0.00616490456123969,-73.3667306961338
-15,2.864,-0.00616597728334555,-73.3796011013095
-15,2.8645,-0.00616705016521528,-73.392471533571
-15,2.865,-0.00616812320688657,-73.4053419929187
-15,2.8655,-0.00616919640838553,-73.4182124793531
-15,2.866,-0.00617026976974794,-73.4310829928746
-15,2.8665,-0.00617134329100377,-73.4439535334835
-15,2.867,-0.00617241697218781,-73.4568241011804
-15,2.8675,-0.00617349081333004,-73.4696946959657
-15,2.868,-0.00617456481446237,-73.4825653178397
-15,2.8685,-0.00617563897561862,-73.4954359668028
-15,2.869,-0.00617671329682685,-73.5083066428556
-15,2.8695,-0.00617778777812089,-73.5211773459984
-15,2.87,-0.00617886241953555,-73.5340480762315
-15,2.8705,-0.00617993722109789,-73.5469188335555
-15,2.871,-0.00618101218284368,-73.5597896179707
-15,2.8715,-0.0061820873048058,-73.5726604294774
-15,2.872,-0.00618316258700843,-73.5855312680763
-15,2.8725,-0.00618423802949119,-73.5984021337675
-15,2.873,-0.00618531363228406,-73.6112730265515
-15,2.8735,-0.00618638939541701,-73.6241439464287
-15,2.874,-0.00618746531892196,-73.6370148933996
-15,2.8745,-0.00618854140283273,-73.6498858674644
-15,2.875,-0.00618961764718026,-73.6627568686235
-15,2.8755,-0.00619069405199743,-73.6756278968775
-15,2.876,-0.00619177061731324,-73.6884989522266
-15,2.8765,-0.00619284734316249,-73.7013700346712
-15,2.877,-0.00619392422957227,-73.7142411442117
-15,2.8775,-0.00619500127658124,-73.7271122808485
-15,2.878,-0.00619607848421454,-73.739983444582
-15,2.8785,-0.00619715585250891,-73.7528546354125
-15,2.879,-0.00619823338149239,-73.7657258533404
-15,2.8795,-0.00619931107119978,-73.7785970983661
-15,2.88,-0.00620038892166009,-73.7914683704899
-15,2.8805,-0.00620146693290523,-73.8043396697122
-15,2.881,-0.0062025451049671,-73.8172109960335
-15,2.8815,-0.0062036234378805,-73.8300823494539
-15,2.882,-0.00620470193167445,-73.842953729974
-15,2.8825,-0.00620578058638084,-73.855825137594
-15,2.883,-0.00620685940202966,-73.8686965723143
-15,2.8835,-0.00620793837865281,-73.8815680341353
-15,2.884,-0.00620901751628605,-73.8944395230573
-15,2.8845,-0.00621009681495551,-73.9073110390806
-15,2.885,-0.00621117627469887,-73.9201825822057
-15,2.8855,-0.00621225589554032,-73.9330541524329
-15,2.886,-0.00621333567751563,-73.9459257497624
-15,2.8865,-0.0062144156206567,-73.9587973741947
-15,2.887,-0.00621549572499448,-73.9716690257301
-15,2.8875,-0.00621657599055894,-73.9845407043689
-15,2.888,-0.0062176564173868,-73.9974124101115
-15,2.8885,-0.00621873700550227,-74.0102841429581
-15,2.889,-0.00621981775494109,-74.0231559029092
-15,2.8895,-0.00622089866573422,-74.0360276899651
-15,2.89,-0.00622197973791066,-74.048899504126
-15,2.8905,-0.00622306097150811,-74.0617713453924
-15,2.891,-0.00622414236654979,-74.0746432137644
-15,2.8915,-0.00622522392307436,-74.0875151092426
-15,2.892,-0.0062263056411118,-74.1003870318271
-15,2.8925,-0.00622738752068629,-74.1132589815183
-15,2.893,-0.00622846956184132,-74.1261309583165
-15,2.8935,-0.00622955176459528,-74.1390029622221
-15,2.894,-0.00623063412899167,-74.1518749932353
-15,2.8945,-0.00623171665505369,-74.1647470513564
-15,2.895,-0.0062327993428152,-74.1776191365858
-15,2.8955,-0.00623388219230809,-74.1904912489238
-15,2.896,-0.00623496520356523,-74.2033633883706
-15,2.8965,-0.00623604837661468,-74.2162355549266
-15,2.897,-0.0062371317114893,-74.229107748592
-15,2.8975,-0.00623821520821906,-74.2419799693672
-15,2.898,-0.00623929886683975,-74.2548522172525
-15,2.8985,-0.00624038268737456,-74.2677244922481
-15,2.899,-0.00624146666986411,-74.2805967943545
-15,2.8995,-0.00624255081433546,-74.2934691235717
-15,2.9,-0.00624363512081667,-74.3063414799001
-12,2.7,-0.00779972010165086,-88.6597337732878
-12,2.7005,-0.00780111446373291,-88.6762320394802
-12,2.701,-0.00780250898449762,-88.6927303401993
-12,2.7015,-0.00780390366395664,-88.709228675442
-12,2.702,-0.00780529850211197,-88.7257270452051
-12,2.7025,-0.00780669349897335,-88.7422254494857
-12,2.703,-0.00780808865454086,-88.7587238882806
-12,2.7035,-0.00780948396883,-88.7752223615867
-12,2.704,-0.0078108794418399,-88.7917208694009
-12,2.7045,-0.00781227507358124,-88.8082194117202
-12,2.705,-0.00781367086405797,-88.8247179885414
-12,2.7055,-0.00781506681327981,-88.8412165998614
-12,2.706,-0.00781646292124877,-88.8577152456771
-12,2.7065,-0.00781785918797458,-88.8742139259854
-12,2.707,-0.00781925561346117,-88.8907126407831
-12,2.7075,-0.00782065219771731,-88.9072113900672
-12,2.708,-0.00782204894074308,-88.9237101738345
-12,2.7085,-0.00782344584254916,-88.9402089920817
-12,2.709,-0.00782484290314433,-88.9567078448059
-12,2.7095,-0.00782624012252769,-88.9732067320039
-12,2.71,-0.00782763750070897,-88.9897056536725
-12,2.7105,-0.00782903503769597,-89.0062046098085
-12,2.711,-0.00783043273348877,-89.0227036004088
-12,2.7115,-0.00783183058809806,-89.0392026254702
-12,2.712,-0.00783322860152874,-89.0557016849896
-12,2.7125,-0.00783462677378668,-89.0722007789638
-12,2.713,-0.00783602510487389,-89.0886999073896
-12,2.7135,-0.00783742359480106,-89.1051990702638
-12,2.714,-0.00783882224356924,-89.1216982675833
-12,2.7145,-0.00784022105118815,-89.1381974993447
-12,2.715,-0.0078416200176598,-89.1546967655451
-12,2.7155,-0.00784301914299295,-89.1711960661811
-12,2.716,-0.00784441842719154,-89.1876954012495
-12,2.7165,-0.00784581787026048,-89.2041947707472
-12,2.717,-0.00784721747220562,-89.2206941746708
-12,2.7175,-0.00784861723302995,-89.2371936130173
-12,2.718,-0.00785001715274223,-89.2536930857834
-12,2.7185,-0.00785141723134543,-89.2701925929658
-12,2.719,-0.00785281746884734,-89.2866921345613
-12,2.7195,-0.00785421786524902,-89.3031917105667
-12,2.72,-0.00785561842055922,-89.3196913209787
-12,2.7205,-0.00785701913478091,-89.3361909657941
-12,2.721,-0.007858420007919,-89.3526906450097
-12,2.7215,-0.00785982103998129,-89.3691903586222
-12,2.722,-0.00786122223096882,-89.3856901066283
-12,2.7225,-0.00786262358088746,-89.4021898890247
-12,2.723,-0.00786402508974501,-89.4186897058083
-12,2.7235,-0.00786542675754346,-89.4351895569757
-12,2.724,-0.0078668285842858,-89.4516894425236
-12,2.7245,-0.00786823056997983,-89.4681893624488
-12,2.725,-0.00786963271463238,-89.484689316748
-12,2.7255,-0.00787103501824159,-89.5011893054179
-12,2.726,-0.00787243748081622,-89.5176893284552
-12,2.7265,-0.00787384010236023,-89.5341893858566
-12,2.727,-0.00787524288287946,-89.5506894776188
-12,2.7275,-0.00787664582237691,-89.5671896037385
-12,2.728,-0.00787804892085939,-89.5836897642123
-12,2.7285,-0.00787945217832602,-89.600189959037
-12,2.729,-0.00788085559478461,-89.6166901882093
-12,2.7295,-0.00788225917024101,-89.6331904517257
-12,2.73,-0.00788366290469531,-89.6496907495831
-12,2.7305,-0.00788506679815531,-89.666191081778
-12,2.731,-0.007886470850623,-89.682691448307
-12,2.7315,-0.00788787506210523,-89.699191849167
-12,2.732,-0.00788927943260208,-89.7156922843545
-12,2.7325,-0.0078906839621223,-89.7321927538661
-12,2.733,-0.0078920886506679,-89.7486932576986
-12,2.7335,-0.00789349349823993,-89.7651937958485
-12,2.734,-0.00789489850484715,-89.7816943683124
-12,2.7345,-0.00789630367048868,-89.7981949750871
-12,2.735,-0.00789770899517326,-89.8146956161691
-12,2.7355,-0.007899114478901,-89.8311962915551
-12,2.736,-0.00790052012167967,-89.8476970012416
-12,2.7365,-0.0079019259235084,-89.8641977452254
-12,2.737,-0.00790333188439691,-89.8806985235029
-12,2.7375,-0.00790473800434142,-89.8971993360708
-12,2.738,-0.00790614428335166,-89.9137001829257
-12,2.7385,-0.00790755072142867,-89.9302010640641
-12,2.739,-0.00790895731857639,-89.9467019794828
-12,2.7395,-0.00791036407479586,-89.9632029291782
-12,2.74,-0.00791177099009488,-89.9797039131469
-12,2.7405,-0.00791317806447643,-89.9962049313855
-12,2.741,-0.00791458529794348,-90.0127059838907
-12,2.7415,-0.00791599269049802,-90.0292070706589
-12,2.742,-0.00791740024214112,-90.0457081916867
-12,2.7425,-0.00791880795288152,-90.0622093469707
-12,2.743,-0.00792021582272124,-90.0787105365074
-12,2.7435,-0.00792162385166133,-90.0952117602934
-12,2.744,-0.00792303203970764,-90.1117130183251
-12,2.7445,-0.0079244403868593,-90.1282143105993
-12,2.745,-0.0079258488931241,-90.1447156371124
-12,2.7455,-0.00792725755850211,-90.1612169978608
-12,2.746,-0.00792866638299921,-90.1777183928413
-12,2.7465,-0.00793007536661645,-90.1942198220502
-12,2.747,-0.00793148450935678,-90.2107212854841
-12,2.7475,-0.00793289381122416,-90.2272227831395
-12,2.748,-0.00793430327221962,-90.243724315013
-12,2.7485,-0.00793571289235192,-90.2602258811009
-12,2.749,-0.00793712267161536,-90.2767274813999
-12,2.7495,-0.00793853261001966,-90.2932291159064
-12,2.75,-0.00793994270756394,-90.3097307846169
-12,2.7505,-0.00794135296425503,-90.3262324875279
-12,2.751,-0.00794276338009108,-90.3427342246359
-12,2.7515,-0.00794417395507505,-90.3592359959373
-12,2.752,-0.00794558468921283,-90.3757378014286
-12,2.7525,-0.00794699558250544,-90.3922396411064
-12,2.753,-0.00794840663495684,-90.408741514967
-12,2.7535,-0.00794981784656613,-90.4252434230069
-12,2.754,-0.007951229217344,-90.4417453652226
-12,2.7545,-0.00795264074728281,-90.4582473416106
-12,2.755,-0.00795405243639134,-90.4747493521672
-12,2.7555,-0.00795546428466868,-90.4912513968889
-12,2.756,-0.00795687629212361,-90.5077534757722
-12,2.7565,-0.0079582884587504,-90.5242555888134
-12,2.757,-0.0079597007845588,-90.5407577360091
-12,2.7575,-0.00796111326954598,-90.5572599173557
-12,2.758,-0.00796252591371781,-90.5737621328494
-12,2.7585,-0.00796393871707437,-90.5902643824869
-12,2.759,-0.00796535167961863,-90.6067666662644
-12,2.7595,-0.00796676480135453,-90.6232689841784
