Freq [GHz],"dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
2,-0.005075858,-46.10496076
2.0015,-0.005080711,-46.14264316
2.003,-0.005085574,-46.18034052
2.0045,-0.005090447,-46.21805291
2.006,-0.00509533,-46.25578041
2.0075,-0.005100223,-46.29352311
2.009,-0.005105126,-46.33128109
2.0105,-0.005110039,-46.36905442
2.012,-0.005114963,-46.4068432
2.0135,-0.005119897,-46.4446475
2.015,-0.005124841,-46.48246742
2.0165,-0.005129795,-46.52030303
2.018,-0.00513476,-46.55815443
2.0195,-0.005139735,-46.59602169
2.021,-0.00514472,-46.6339049
2.0225,-0.005149716,-46.67180416
2.024,-0.005154723,-46.70971955
2.0255,-0.00515974,-46.74765116
2.027,-0.005164768,-46.78559908
2.0285,-0.005169806,-46.8235634
2.03,-0.005174855,-46.86154421
2.0315,-0.005179915,-46.8995416
2.033,-0.005184986,-46.93755567
2.0345,-0.005190067,-46.97558651
2.036,-0.00519516,-47.01363422
2.0375,-0.005200263,-47.05169888
2.039,-0.005205377,-47.0897806
2.0405,-0.005210503,-47.12787946
2.042,-0.005215639,-47.16599558
2.0435,-0.005220787,-47.20412904
2.045,-0.005225946,-47.24227995
2.0465,-0.005231116,-47.2804484
2.048,-0.005236297,-47.31863449
2.0495,-0.005241489,-47.35683833
2.051,-0.005246693,-47.39506002
2.0525,-0.005251909,-47.43329966
2.054,-0.005257135,-47.47155736
2.0555,-0.005262374,-47.50983321
2.057,-0.005267624,-47.54812733
2.0585,-0.005272885,-47.58643982
2.06,-0.005278159,-47.62477079
2.0615,-0.005283444,-47.66312034
2.063,-0.005288741,-47.70148859
2.0645,-0.005294049,-47.73987564
2.066,-0.00529937,-47.77828161
2.0675,-0.005304702,-47.81670661
2.069,-0.005310047,-47.85515075
2.0705,-0.005315404,-47.89361415
2.072,-0.005320772,-47.93209691
2.0735,-0.005326153,-47.97059915
2.075,-0.005331547,-48.009121
2.0765,-0.005336952,-48.04766257
2.078,-0.00534237,-48.08622397
2.0795,-0.0053478,-48.12480533
2.081,-0.005353243,-48.16340676
2.0825,-0.005358699,-48.2020284
2.084,-0.005364167,-48.24067035
2.0855,-0.005369647,-48.27933275
2.087,-0.005375141,-48.31801572
2.0885,-0.005380647,-48.35671939
2.09,-0.005386166,-48.39544388
2.0915,-0.005391698,-48.43418932
2.093,-0.005397243,-48.47295583
2.0945,-0.005402801,-48.51174356
2.096,-0.005408372,-48.55055263
2.0975,-0.005413957,-48.58938317
2.099,-0.005419555,-48.62823532
2.1005,-0.005425166,-48.66710922
2.102,-0.00543079,-48.70600499
2.1035,-0.005436428,-48.74492278
2.105,-0.00544208,-48.78386272
2.1065,-0.005447745,-48.82282495
2.108,-0.005453423,-48.86180962
2.1095,-0.005459116,-48.90081687
2.111,-0.005464822,-48.93984684
2.1125,-0.005470543,-48.97889967
2.114,-0.005476277,-49.01797552
2.1155,-0.005482026,-49.05707452
2.117,-0.005487788,-49.09619683
2.1185,-0.005493565,-49.1353426
2.12,-0.005499356,-49.17451198
2.1215,-0.005505161,-49.21370512
2.123,-0.005510981,-49.25292218
2.1245,-0.005516816,-49.29216331
2.126,-0.005522665,-49.33142867
2.1275,-0.005528529,-49.37071841
2.129,-0.005534407,-49.41003271
2.1305,-0.005540301,-49.44937171
2.132,-0.005546209,-49.48873558
2.1335,-0.005552133,-49.52812449
2.135,-0.005558072,-49.5675386
2.1365,-0.005564026,-49.60697809
2.138,-0.005569995,-49.64644311
2.1395,-0.00557598,-49.68593384
2.141,-0.00558198,-49.72545045
2.1425,-0.005587995,-49.76499311
2.144,-0.005594027,-49.80456201
2.1455,-0.005600074,-49.84415732
2.147,-0.005606137,-49.88377921
2.1485,-0.005612216,-49.92342787
2.15,-0.005618311,-49.96310348
2.1515,-0.005624423,-50.00280623
2.153,-0.00563055,-50.04253629
2.1545,-0.005636694,-50.08229386
2.156,-0.005642855,-50.12207913
2.1575,-0.005649032,-50.16189229
2.159,-0.005655226,-50.20173352
2.1605,-0.005661436,-50.24160303
2.162,-0.005667664,-50.28150102
2.1635,-0.005673908,-50.32142767
2.165,-0.005680169,-50.3613832
2.1665,-0.005686448,-50.4013678
2.168,-0.005692744,-50.44138168
2.1695,-0.005699058,-50.48142505
2.171,-0.005705389,-50.5214981
2.1725,-0.005711738,-50.56160107
2.174,-0.005718104,-50.60173415
2.1755,-0.005724489,-50.64189757
2.177,-0.005730891,-50.68209153
2.1785,-0.005737312,-50.72231626
2.18,-0.005743751,-50.76257199
2.1815,-0.005750208,-50.80285892
2.183,-0.005756684,-50.8431773
2.1845,-0.005763179,-50.88352735
2.186,-0.005769692,-50.92390929
2.1875,-0.005776224,-50.96432336
2.189,-0.005782776,-51.00476981
2.1905,-0.005789346,-51.04524885
2.192,-0.005795936,-51.08576074
2.1935,-0.005802545,-51.12630571
2.195,-0.005809174,-51.16688402
2.1965,-0.005815822,-51.20749591
2.198,-0.005822491,-51.24814162
2.1995,-0.005829179,-51.28882142
2.201,-0.005835888,-51.32953555
2.2025,-0.005842616,-51.37028428
2.204,-0.005849366,-51.41106786
2.2055,-0.005856136,-51.45188657
2.207,-0.005862926,-51.49274065
2.2085,-0.005869738,-51.53363039
2.21,-0.00587657,-51.57455606
2.2115,-0.005883424,-51.61551793
2.213,-0.005890299,-51.65651627
2.2145,-0.005897196,-51.69755137
2.216,-0.005904115,-51.73862351
2.2175,-0.005911055,-51.77973299
2.219,-0.005918017,-51.82088008
2.2205,-0.005925002,-51.86206508
2.222,-0.005932009,-51.90328828
2.2235,-0.005939038,-51.94454999
2.225,-0.00594609,-51.98585051
2.2265,-0.005953165,-52.02719015
2.228,-0.005960264,-52.0685692
2.2295,-0.005967385,-52.10998799
2.231,-0.00597453,-52.15144683
2.2325,-0.005981699,-52.19294604
2.234,-0.005988891,-52.23448594
2.2355,-0.005996107,-52.27606687
2.237,-0.006003348,-52.31768913
2.2385,-0.006010613,-52.35935309
2.24,-0.006017903,-52.40105906
2.2415,-0.006025217,-52.44280739
2.243,-0.006032557,-52.48459843
2.2445,-0.006039921,-52.52643252
2.246,-0.006047312,-52.56831002
2.2475,-0.006054727,-52.61023128
2.249,-0.006062169,-52.65219667
2.2505,-0.006069637,-52.69420655
2.252,-0.006077131,-52.73626128
2.2535,-0.006084652,-52.77836125
2.255,-0.0060922,-52.82050683
