Freq [GHz],"dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
2.6,-0.012561149,-56.7781041
2.6015,-0.012582844,-56.81345662
2.603,-0.012604593,-56.84882832
2.6045,-0.012626396,-56.88421951
2.606,-0.012648252,-56.91963055
2.6075,-0.012670164,-56.95506177
2.609,-0.012692131,-56.99051351
2.6105,-0.012714154,-57.02598615
2.612,-0.012736233,-57.06148006
2.6135,-0.01275837,-57.09699561
2.615,-0.012780564,-57.1325332
2.6165,-0.012802816,-57.16809323
2.618,-0.012825128,-57.20367611
2.6195,-0.012847499,-57.23928226
2.621,-0.012869931,-57.27491213
2.6225,-0.012892424,-57.31056615
2.624,-0.012914978,-57.34624479
2.6255,-0.012937595,-57.38194853
2.627,-0.012960276,-57.41767785
2.6285,-0.012983021,-57.45343325
2.63,-0.01300583,-57.48921525
2.6315,-0.013028706,-57.52502437
2.633,-0.013051649,-57.56086117
2.6345,-0.013074659,-57.59672621
2.636,-0.013097738,-57.63262006
2.6375,-0.013120886,-57.66854333
2.639,-0.013144105,-57.70449662
2.6405,-0.013167396,-57.74048057
2.642,-0.01319076,-57.77649584
2.6435,-0.013214198,-57.8125431
2.645,-0.013237711,-57.84862303
2.6465,-0.0132613,-57.88473637
2.648,-0.013284967,-57.92088384
2.6495,-0.013308713,-57.9570662
2.651,-0.013332539,-57.99328426
2.6525,-0.013356446,-58.02953881
2.654,-0.013380437,-58.06583069
2.6555,-0.013404513,-58.10216079
2.657,-0.013428675,-58.13852998
2.6585,-0.013452925,-58.17493919
2.66,-0.013477265,-58.21138939
2.6615,-0.013501696,-58.24788157
2.663,-0.01352622,-58.28441673
2.6645,-0.013550839,-58.32099596
2.666,-0.013575556,-58.35762034
2.6675,-0.013600372,-58.39429101
2.669,-0.013625289,-58.43100914
2.6705,-0.01365031,-58.46777596
2.672,-0.013675437,-58.50459273
2.6735,-0.013700673,-58.54146075
2.675,-0.013726019,-58.57838139
2.6765,-0.01375148,-58.61535606
2.678,-0.013777057,-58.65238621
2.6795,-0.013802754,-58.68947336
2.681,-0.013828573,-58.72661909
2.6825,-0.013854518,-58.76382505
2.684,-0.013880593,-58.80109292
2.6855,-0.0139068,-58.83842447
2.687,-0.013933143,-58.87582156
2.6885,-0.013959627,-58.91328609
2.69,-0.013986255,-58.95082006
2.6915,-0.014013032,-58.98842553
2.693,-0.014039961,-59.02610468
2.6945,-0.014067049,-59.06385975
2.696,-0.014094299,-59.10169309
2.6975,-0.014121717,-59.13960716
2.699,-0.014149308,-59.1776045
2.7005,-0.014177079,-59.21568779
2.702,-0.014205035,-59.25385982
2.7035,-0.014233182,-59.29212349
2.705,-0.014261527,-59.33048186
2.7065,-0.014290078,-59.36893811
2.708,-0.014318842,-59.40749557
2.7095,-0.014347827,-59.44615773
2.711,-0.014377041,-59.48492826
2.7125,-0.014406493,-59.52381099
2.714,-0.014436193,-59.56280993
2.7155,-0.01446615,-59.60192932
2.717,-0.014496375,-59.64117357
2.7185,-0.01452688,-59.68054736
2.72,-0.014557676,-59.72005557
2.7215,-0.014588776,-59.75970336
2.723,-0.014620193,-59.79949615
2.7245,-0.014651942,-59.83943966
2.726,-0.014684039,-59.87953989
2.7275,-0.014716499,-59.91980322
2.729,-0.01474934,-59.96023633
2.7305,-0.014782581,-60.00084633
2.732,-0.014816241,-60.0416407
2.7335,-0.014850343,-60.08262736
2.735,-0.014884908,-60.12381471
2.7365,-0.014919962,-60.16521165
2.738,-0.014955531,-60.2068276
2.7395,-0.014991643,-60.2486726
2.741,-0.015028329,-60.29075728
2.7425,-0.015065623,-60.33309296
2.744,-0.015103558,-60.37569171
2.7455,-0.015142175,-60.41856638
2.747,-0.015181515,-60.46173066
2.7485,-0.015221622,-60.5051992
2.75,-0.015262546,-60.54898765
2.7515,-0.01530434,-60.59311276
2.753,-0.015347061,-60.6375925
2.7545,-0.015390773,-60.6824461
2.756,-0.015435545,-60.72769429
2.7575,-0.015481451,-60.7733593
2.759,-0.015528574,-60.81946513
2.7605,-0.015577005,-60.86603763
2.762,-0.015626842,-60.91310475
2.7635,-0.015678196,-60.96069671
2.765,-0.015731186,-61.00884628
2.7665,-0.015785946,-61.05758901
2.768,-0.015842624,-61.10696354
2.7695,-0.015901384,-61.157012
2.771,-0.015962408,-61.20778032
2.7725,-0.016025901,-61.25931875
2.774,-0.016092089,-61.31168232
2.7755,-0.01616123,-61.36493147
2.777,-0.01623361,-61.41913269
2.7785,-0.016309554,-61.47435934
2.78,-0.016389429,-61.53069251
2.7815,-0.016473651,-61.58822212
2.783,-0.016562695,-61.64704811
2.7845,-0.016657104,-61.7072819
2.786,-0.016757499,-61.76904807
2.7875,-0.016864598,-61.83248638
2.789,-0.016979231,-61.89775417
2.7905,-0.017102363,-61.96502914
2.792,-0.017235119,-62.03451286
2.7935,-0.017378822,-62.10643482
2.795,-0.017535032,-62.18105749
2.7965,-0.017705602,-62.25868245
2.798,-0.017892745,-62.33965797
