"Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
2.7,-0.0235101039396072,152.83357156956
2.7005,-0.0235185727376401,152.785849281777
2.701,-0.0235271306397567,152.738035833385
2.7015,-0.0235357797327426,152.690129655106
2.702,-0.023544522163892,152.642129140963
2.7025,-0.0235533601431403,152.594032647196
2.703,-0.0235622959452654,152.545838491144
2.7035,-0.0235713319122272,152.497544950092
2.704,-0.0235804704555494,152.449150260064
2.7045,-0.023589714058838,152.400652614588
2.705,-0.023599065280395,152.352050163399
2.7055,-0.0236085267559465,152.303341011112
2.706,-0.0236181012014771,152.254523215831
2.7065,-0.0236277914162094,152.205594787719
2.707,-0.0236376002856876,152.156553687504
2.7075,-0.0236475307850044,152.107397824935
2.708,-0.0236575859821881,152.058125057181
2.7085,-0.0236677690417064,152.008733187162
2.709,-0.0236780832281562,151.959219961827
2.7095,-0.0236885319100999,151.909583070353
2.71,-0.0236991185640838,151.859820142287
2.7105,-0.0237098467788344,151.809928745604
2.711,-0.0237207202596475,151.7599063847
2.7115,-0.0237317428329935,151.709750498294
2.712,-0.0237429184512963,151.659458457259
2.7125,-0.0237542511979933,151.609027562354
2.713,-0.0237657452927746,151.558455041876
2.7135,-0.0237774050971134,151.507738049207
2.714,-0.0237892351200363,151.456873660266
2.7145,-0.0238012400241748,151.40585887086
2.715,-0.0238134246321151,151.354690593914
2.7155,-0.0238257939330536,151.303365656598
2.716,-0.0238383530897692,151.251880797325
2.7165,-0.0238511074459537,151.200232662625
2.717,-0.0238640625338894,151.148417803888
2.7175,-0.0238772240825319,151.096432673964
2.718,-0.0238905980259799,151.044273623616
2.7185,-0.0239041905123867,150.991936897823
2.719,-0.0239180079133166,150.939418631918
2.7195,-0.0239320568336001,150.886714847554
2.72,-0.0239463441216757,150.833821448494
2.7205,-0.0239608768804945,150.780734216212
2.721,-0.0239756624789918,150.727448805293
2.7215,-0.0239907085641518,150.673960738626
2.722,-0.0240060230737505,150.620265402376
2.7225,-0.0240216142497432,150.566358040727
2.723,-0.0240374906524182,150.512233750373
2.7235,-0.024053661175301,150.457887474758
2.724,-0.0240701350608762,150.403313998041
2.7245,-0.0240869219172132,150.348507938775
2.725,-0.0241040317354819,150.293463743279
2.7255,-0.0241214749085002,150.238175678693
2.726,-0.0241392622503067,150.182637825692
2.7265,-0.0241574050168631,150.126844070844
2.727,-0.0241759149279652,150.070788098585
2.7275,-0.024194804190433,150.014463382799
2.728,-0.0242140855226486,149.957863177965
2.7285,-0.0242337721805777,149.900980509861
2.729,-0.024253877985315,149.843808165789
2.7295,-0.0242744173523351,149.786338684292
2.73,-0.0242954053224876,149.728564344337
2.7305,-0.0243168575949259,149.670477153932
2.731,-0.0243387905620572,149.612068838126
2.7315,-0.0243612213466961,149.553330826386
2.732,-0.0243841678415464,149.494254239269
2.7325,-0.0244076487512268,149.434829874387
2.733,-0.0244316836369675,149.375048191587
2.7335,-0.0244562929642255,149.314899297311
2.734,-0.024481498153421,149.254372928081
2.7345,-0.0245073216340175,149.193458433047
2.735,-0.024533786902243,149.132144755539
2.7355,-0.0245609185826448,149.070420413552
2.736,-0.0245887424939065,149.008273479097
2.7365,-0.0246172857191315,148.94569155634
2.737,-0.0246465766810456,148.882661758433
2.7375,-0.0246766452224585,148.819170682965
2.738,-0.0247075226924097,148.755204385922
2.7385,-0.0247392420385183,148.690748354049
2.739,-0.0247718379059802,148.625787475507
2.7395,-0.0248053467438159,148.560306008693
2.74,-0.0248398069189548,148.494287549099
2.7405,-0.0248752588388436,148.427714994041
2.741,-0.0249117450832988,148.360570505127
2.7415,-0.0249493105464298,148.292835468273
2.742,-0.0249880025894812,148.224490451076
2.7425,-0.0250278712056225,148.155515157358
2.743,-0.0250689691977212,148.085888378639
2.7435,-0.0251113523702807,148.015587942298
2.744,-0.0251550797369027,147.944590656173
2.7445,-0.0252002137446512,147.872872249282
2.745,-0.0252468205169549,147.80040730837
2.7455,-0.0252949701168287,147.727169209922
2.746,-0.0253447368323434,147.653130047265
2.7465,-0.025396199486563,147.578260552331
2.747,-0.0254494417743374,147.502530011639
2.7475,-0.0255045526286664,147.425906175962
2.748,-0.025561626619645,147.348355163152
2.7485,-0.0256207643893286,147.269841353482
2.749,-0.0256820731262754,147.190327276844
2.7495,-0.0257456670839495,147.109773491036
2.75,-0.0258116681476992,147.028138450331
2.7505,-0.0258802064555654,146.945378363384
2.751,-0.0259514210788487,146.861447039468
2.7515,-0.0260254607691077,146.776295721912
2.752,-0.0261024847791006,146.689872907465
2.7525,-0.0261826637661534,146.602124150191
2.753,-0.0262661807875795,146.512991848318
2.7535,-0.0263532323989709,146.422415012308
2.754,-0.0264440298677715,146.330329012156
2.7545,-0.0265388005161188,146.236665301751
2.755,-0.0266377892089495,146.141351117808
2.7555,-0.026741260005632,146.044309150608
2.756,-0.0268494979959507,145.945457183403
2.7565,-0.0269628113444073,145.844707696974
2.757,-0.0270815335702178,145.741967435329
2.7575,-0.027206026094649,145.637136928025
2.758,-0.0273366810921021,145.530109963975
2.7585,-0.027473924687035,145.420773010896
2.759,-0.0276182205455796,145.309004573727
2.7595,-0.0277700739184366,145.194674484416
2.76,-0.0279300362011388,145.07764311435
2.7605,-0.0280987100886665,144.957760499419
2.761,-0.0282767554146428,144.834865366213
2.7615,-0.0284648957810395,144.708784046064
2.762,-0.0286639261030171,144.57932926158
2.7625,-0.0288747212162083,144.446298767872
2.763,-0.0290982457208543,144.30947382777
2.7635,-0.0293355652701243,144.168617496887
2.764,-0.0295878595498394,144.023472690305
2.7645,-0.0298564372454995,143.873759997757
2.765,-0.030142753351974,143.719175208314
2.7655,-0.0304484292542512,143.559386498542
2.766,-0.0307752760979393,143.394031229554
2.7665,-0.0311253220797631,143.22271228804
2.767,-0.0315008444275614,143.044993893757
2.7675,-0.0319044070132375,142.860396780555
2.768,-0.0323389047610323,142.668392639049
2.7685,-0.0328076162902442,142.468397685631
2.769,-0.0333142665832721,142.259765193483
2.7695,-0.0338631019200104,142.041776784948
2.77,-0.0344589798984773,141.813632239136
2.7705,-0.0351074781118166,141.574437511154
2.771,-0.0358150260297413,141.323190586398
2.7715,-0.0365890659173086,141.058764700055
2.772,-0.037438250324357,140.77988833189
2.7725,-0.0383726859475425,140.485121230736
2.773,-0.039404236719465,140.172825519745
2.7735,-0.0405469031239657,139.841130665644
2.774,-0.041817300417574,139.487890739467
2.7745,-0.0432352663038658,139.110631919283
2.775,-0.0448246396191272,138.706487539781
2.7755,-0.0466142671808568,138.272117110405
2.776,-0.0486393183060851,137.803604502042
2.7765,-0.0509430189838236,137.296328792219
2.777,-0.0535789655448472,136.744798833962
2.7775,-0.0566142492865091,136.142439127486
2.778,-0.0601337324600989,135.481309486819
2.7785,-0.0642459847738057,134.751733448818
2.779,-0.0690916560548942,133.941798984288
2.7795,-0.0748554905678551,133.036677550075
2.78,-0.0817838980366108,132.017679994303
2.7805,-0.0902111976137505,130.860923577101
2.781,-0.100599741597241,129.535411421417
2.7815,-0.113602876295815,128.00020206549
2.782,-0.130166654270293,126.200130696943
2.7825,-0.151699595013974,124.059152986738
2.783,-0.180366572664643,121.469649372959
2.7835,-0.21961879494206,118.274594973375
2.784,-0.275193456813119,114.236576209327
2.7845,-0.357090963044606,108.981400402645
2.785,-0.483662830442368,101.890251072442
2.7855,-0.690250897141965,91.8835915234977
2.786,-1.04611459684646,76.978659470712
2.7865,-1.6699529387142,53.4657630254277
2.787,-2.59655066014218,15.4101938114908
2.7875,-3.09639645315837,-38.6099353745288
2.788,-2.39568502741895,-90.1935566043337
2.7885,-1.50896122032278,-124.809913285826
2.789,-0.950627511356509,-146.167635645695
2.7895,-0.633755849812664,-159.856644309917
2.79,-0.44824533676435,-169.154098713048
2.7905,-0.333437912383747,-175.807614210082
2.791,-0.25848532796984,179.22222058109
2.7915,-0.207245971820385,175.378634201476
2.792,-0.17083861719627,172.321485112439
2.7925,-0.144121104611755,169.833030327858
2.793,-0.123974820998235,167.76815009099
2.7935,-0.108429624889877,166.026731619054
2.794,-0.0961958550828045,164.53763622662
2.7945,-0.0864027321935027,163.249006362135
2.795,-0.0784461622606849,162.122191825292
2.7955,-0.0718969656963278,161.127821596666
2.796,-0.0664437487068719,160.243191312036
2.7965,-0.0618563137620752,159.450482093254
2.797,-0.0579616205834434,158.735519023257
2.7975,-0.0546276274675381,158.086888453186
2.798,-0.0517522034339269,157.495299141974
2.7985,-0.049255376598973,156.953112361997
2.799,-0.047073822262263,156.453991190433
2.7995,-0.0451568824843619,155.992635243396
2.8,-0.0434636506427331,155.564577575244
2.8005,-0.0419608080765004,155.166027424494
2.801,-0.0406209994563859,154.793747195781
2.8015,-0.0394215991405662,154.444955303642
2.802,-0.0383437647596763,154.117248761442
2.8025,-0.0373717041999938,153.808540995213
2.803,-0.0364921028035314,153.51701150543
2.8035,-0.0356936720396814,153.241064828184
2.804,-0.0349667911190827,152.979296854187
2.8045,-0.034303220332793,152.730467013228
2.805,-0.0336958701901506,152.493475167523
2.8055,-0.0331386142947879,152.26734231052
2.806,-0.0326261367501758,152.051194360348
2.8065,-0.032153807008703,151.844248484715
2.807,-0.0317175766715565,151.645801508109
2.8075,-0.0313138939518054,151.455220040888
2.808,-0.0309396324320102,151.271932039375
2.8085,-0.0305920314526968,151.09541956083
2.809,-0.0302686460133977,150.925212520666
2.8095,-0.0299673044917514,150.760883293914
2.81,-0.0296860728181309,150.602042030794
2.8105,-0.0294232240044942,150.448332578617
2.811,-0.029177212132808,150.299428920479
2.8115,-0.0289466500731831,150.155032055961
2.812,-0.0287302903332632,150.014867261172
2.8125,-0.0285270085463314,149.878681675414
2.813,-0.0283357891909898,149.746242169964
2.8135,-0.0281557132045312,149.617333461244
2.814,-0.0279859472085934,149.491756436323
2.8145,-0.0278257341118207,149.369326663397
2.815,-0.0276743848921687,149.249873063853
2.8155,-0.0275312713927491,149.133236725836
2.816,-0.027395819990893,149.019269842051
2.8165,-0.0272675060216782,148.907834756882
2.817,-0.027145848854912,148.798803109929
2.8175,-0.0270304075396048,148.692055064785
2.818,-0.0269207769423988,148.587478613309
2.8185,-0.0268165843170372,148.48496894692
2.819,-0.0267174862507698,148.384427887503
2.8195,-0.0266231659411266,148.285763371435
2.82,-0.0265333307628692,148.188888981037
2.8205,-0.0264477100903366,148.093723518449
2.821,-0.0263660533450073,148.000190617508
2.8215,-0.0262881282421022,147.908218389741
2.822,-0.0262137192133308,147.817739101022
2.8225,-0.0261426259859208,147.728688875838
2.823,-0.0260746623004407,147.64100742646
2.8235,-0.0260096547521753,147.5546378046
2.824,-0.025947441742633,147.469526173409
2.8245,-0.0258878725294006,147.385621597897
2.825,-0.0258308063639243,147.302875852062
2.8255,-0.0257761117080623,147.221243241206
2.826,-0.0257236655213205,147.140680438035
2.8265,-0.0256733526115186,147.061146331345
2.827,-0.0256250650425941,146.982601886149
2.8275,-0.0255787015938034,146.905010014278
2.828,-0.0255341672653547,146.828335454523
2.8285,-0.0254913728259208,146.752544661538
2.829,-0.0254502343980574,146.677605702737
2.8295,-0.0254106730779363,146.603488162544
2.83,-0.025372614586193,146.530163053379
2.8305,-0.0253359889470012,146.457602732841
2.831,-0.0253007301928056,146.385780826585
2.8315,-0.0252667760924064,146.314672156443
2.832,-0.0252340679003026,146.244252673382
2.8325,-0.0252025501253983,146.174499394913
2.833,-0.0251721703174159,146.105390346631
2.8335,-0.0251428788694663,146.036904507539
2.834,-0.0251146288353843,145.969021758909
2.8345,-0.0250873757606234,145.901722836388
2.835,-0.0250610775255015,145.834989285127
2.8355,-0.0250356941998704,145.768803417707
2.836,-0.025011187908169,145.703148274662
2.8365,-0.0249875227041113,145.63800758741
2.837,-0.0249646644541656,145.573365743437
2.8375,-0.0249425807291592,145.509207753547
2.838,-0.0249212407033725,145.445519221074
2.8385,-0.0249006150605083,145.382286312885
2.839,-0.0248806759060367,145.319495732078
2.8395,-0.0248613966854219,145.257134692247
2.84,-0.0248427521077521,145.195190893221
2.8405,-0.0248247180744155,145.133652498164
2.841,-0.0248072716124259,145.072508111967
2.8415,-0.0247903908120372,145.011746760828
2.842,-0.0247740547683491,144.951357872965
2.8425,-0.0247582435266402,144.891331260369
2.843,-0.0247429380311108,144.831657101548
2.8435,-0.0247281200768268,144.77232592519
2.844,-0.0247137722646313,144.713328594695
2.8445,-0.0246998779588156,144.654656293518
2.845,-0.0246864212473683,144.596300511275
2.8455,-0.0246733869045839,144.538253030565
2.846,-0.024660760355952,144.480505914475
2.8465,-0.0246485276450699,144.423051494706
2.847,-0.0246366754025435,144.365882360308
2.8475,-0.0246251908166544,144.308991346972
2.848,-0.0246140616057628,144.252371526851
2.8485,-0.0246032759922513,144.196016198888
2.849,-0.024592822677962,144.139918879605
2.8495,-0.0245826908210439,144.084073294344
2.85,-0.0245728700140406,144.028473368929
2.8505,-0.0245633502632321,143.973113221714
2.851,-0.0245541219691132,143.917987156021
2.8515,-0.0245451759079034,143.863089652921
2.852,-0.024536503214102,143.808415364353
2.8525,-0.024528095363949,143.753959106563
2.853,-0.0245199441597754,143.699715853839
2.8535,-0.0245120417152015,143.645680732534
2.854,-0.0245043804410734,143.591849015354
2.8545,-0.0244969530321783,143.538216115908
2.855,-0.0244897524546125,143.484777583491
2.8555,-0.0244827719338161,143.431529098106
2.856,-0.0244760049432099,143.378466465698
2.8565,-0.0244694451934176,143.325585613593
2.857,-0.0244630866220215,143.272882586144
2.8575,-0.0244569233838355,143.22035354055
2.858,-0.0244509498416482,143.167994742861
2.8585,-0.0244451605574455,143.115802564154
2.859,-0.0244395502840355,143.063773476855
2.8595,-0.0244341139571037,143.011904051236
2.86,-0.0244288466876279,142.960190952034
2.8605,-0.0244237437546809,142.908630935228
2.861,-0.024418800598558,142.857220844932
2.8615,-0.0244140128142407,142.805957610427
2.862,-0.0244093761451521,142.754838243299
2.8625,-0.0244048864772183,142.703859834706
